Id,Name,BirthDate
1,Bulbasaur,2022-12-13
2,Ivysaur,2022-01-31
3,Venusaur,2023-12-25
4,Charmander,2021-10-10
5,Charmeleon,2020-03-10
6,Charizard,2020-06-23
7,Squirtle,2022-10-18
8,Wartortle,2023-10-13
9,Blastoise,2021-09-20
10,Caterpie,2022-09-25
11,Metapod,2020-06-16
12,Butterfree,2023-07-30
13,Weedle,2023-07-01
14,Kakuna,2020-05-13
15,Beedrill,2023-02-20
16,Pidgey,2022-03-01
17,Pidgeotto,2023-03-03
18,Pidgeot,2024-01-14
19,Rattata,2024-02-23
20,Raticate,2024-12-07
21,Spearow,2022-01-10
22,Fearow,2021-04-01
23,Ekans,2020-02-10
24,Arbok,2023-10-05
25,Pikachu,2022-09-04
26,Raichu,2023-06-10
27,Sandshrew,2022-05-06
28,Sandslash,2023-12-24
29,Nidoran♀,2022-08-23
30,Nidorina,2022-06-21
31,Nidoqueen,2021-02-18
32,Nidoran♂,2023-06-04
33,Nidorino,2021-04-04
34,Nidoking,2020-01-03
35,Clefairy,2021-08-11
36,Clefable,2022-07-04
37,Vulpix,2022-02-11
38,Ninetales,2022-03-25
39,Jigglypuff,2021-09-10
40,Wigglytuff,2024-05-01
41,Zubat,2023-11-23
42,Golbat,2023-03-10
43,Oddish,2024-12-01
44,Gloom,2022-07-22
45,Vileplume,2023-04-18
46,Paras,2022-10-27
47,Parasect,2023-03-04
48,Venonat,2023-02-14
49,Venomoth,2021-05-10
50,Diglett,2021-08-11
51,Dugtrio,2022-12-13
52,Meowth,2020-11-26
53,Persian,2024-03-02
54,Psyduck,2024-10-28
55,Golduck,2023-11-25
56,Mankey,2022-12-08
57,Primeape,2020-02-15
58,Growlithe,2020-04-13
59,Arcanine,2022-02-09
60,Poliwag,2024-05-18
61,Poliwhirl,2021-01-03
62,Poliwrath,2022-07-17
63,Abra,2022-10-06
64,Kadabra,2020-07-04
65,Alakazam,2024-08-29
66,Machop,2020-04-13
67,Machoke,2023-07-05
68,Machamp,2024-04-02
69,Bellsprout,2020-08-26
70,Weepinbell,2020-04-12
71,Victreebel,2024-04-24
72,Tentacool,2020-02-03
73,Tentacruel,2022-04-20
74,Geodude,2023-04-28
75,Graveler,2022-04-04
76,Golem,2024-04-19
77,Ponyta,2024-01-27
78,Rapidash,2024-01-10
79,Slowpoke,2021-06-08
80,Slowbro,2020-07-09
81,Magnemite,2022-04-13
82,Magneton,2021-03-12
83,Farfetch'd,2024-03-06
84,Doduo,2020-02-04
85,Dodrio,2020-01-04
86,Seel,2024-04-16
87,Dewgong,2023-07-16
88,Grimer,2023-05-11
89,Muk,2020-06-01
90,Shellder,2023-01-03
91,Cloyster,2020-03-31
92,Gastly,2021-03-31
93,Haunter,2022-06-16
94,Gengar,2022-08-26
95,Onix,2024-04-09
96,Drowzee,2024-06-21
97,Hypno,2020-10-14
98,Krabby,2023-12-11
99,Kingler,2024-11-20
100,Voltorb,2020-07-11
101,Electrode,2023-03-03
102,Exeggcute,2024-08-04
103,Exeggutor,2021-07-11
104,Cubone,2022-02-28
105,Marowak,2020-12-26
106,Hitmonlee,2022-11-10
107,Hitmonchan,2023-11-25
108,Lickitung,2021-09-14
109,Koffing,2023-03-04
110,Weezing,2023-03-08
111,Rhyhorn,2020-04-15
112,Rhydon,2021-05-25
113,Chansey,2023-08-03
114,Tangela,2020-05-03
115,Kangaskhan,2023-02-08
116,Horsea,2022-06-08
117,Seadra,2023-09-14
118,Goldeen,2024-12-22
119,Seaking,2023-05-18
120,Staryu,2021-03-29
121,Starmie,2023-04-22
122,Mr. Mime,2022-01-19
123,Scyther,2022-12-10
124,Jynx,2023-07-27
125,Electabuzz,2023-10-10
126,Magmar,2022-09-24
